"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB16mNuA_ds3_1","f__Syntrophorhabdaceae","uA","uA_ds3_1",6593
"FLB16mNuB_ds3_1","f__Syntrophorhabdaceae","uB","uB_ds3_1",8101
"FLB18mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",2149
"FLB38mA_ds2_1","f__Syntrophorhabdaceae","A","A_ds2_1",2741
"FLB38mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",7320
"FLB38mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",1962
"FLB45mA_ds2_1","f__Syntrophorhabdaceae","A","A_ds2_1",1391
"FLB45mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",57698
"FLB45mB_ds3_1","f__Syntrophorhabdaceae","B","B_ds3_1",33991
"FLB54mA_ds3_1","f__Syntrophorhabdaceae","A","A_ds3_1",126
"FLB57mdA_ds2_1","f__Syntrophorhabdaceae","dA","dA_ds2_1",922
"FLB57mdA_ds2_2","f__Syntrophorhabdaceae","dA","dA_ds2_2",813
"FLB57mdA_ds3_1","f__Syntrophorhabdaceae","dA","dA_ds3_1",3108
"FLB57mdB_ds3_1","f__Syntrophorhabdaceae","dB","dB_ds3_1",445
"FLB57muA_ds3_1","f__Syntrophorhabdaceae","uA","uA_ds3_1",6523
"FLB57muB_ds3_1","f__Syntrophorhabdaceae","uB","uB_ds3_1",384
"FLB00mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",192
"FLB00mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",443
"FLB01mA_ds2_1","f__Anaerobacaceae","A","A_ds2_1",10
"FLB01mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",301
"FLB01mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",869
"FLB03mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",459
"FLB05mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",359
"FLB05mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",175
"FLB06mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",1861
"FLB06mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",967
"FLB08mA_ds1_1","f__Anaerobacaceae","A","A_ds1_1",3027
"FLB08mA_ds2_1","f__Anaerobacaceae","A","A_ds2_1",4280
"FLB08mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",8462
"FLB08mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",1658
"FLB10mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",59
"FLB10mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",590
"FLB10mSdA_ds3_1","f__Anaerobacaceae","dA","dA_ds3_1",4063
"FLB10mSdB_ds3_1","f__Anaerobacaceae","dB","dB_ds3_1",1466
"FLB12mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",430
"FLB12mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",571
"FLB13mNA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",1179
"FLB13mNB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",1103
